"location_id","province","city","2018Q4","2019Q1","2019Q4","2020Q1","2020Q4","2021Q1","2021Q1_vs_2019Q1_str","2020Q4_vs_2019Q4_str","2021Q1_vs_2019Q1","2020Q4_vs_2019Q4"
"kunming_chn.30_1_cn","Yunnan","Kunming",21.7191531174051,27.8894508011042,26.609690943375,30.5217688910648,24.5157023428944,39.0564817289405,"40%","-7.9%",0.400403400105471,-0.0786927065382511
"kunshan_chn.15_1_cn","Jiangsu","Kunshan",39.411902139336,50.2274688284062,36.039676661921,36.1266028558212,34.72801130556,38.1423443370907,"-24.1%","-3.6%",-0.240607874002218,-0.0363950367442378
"laibin_chn.7_1_cn","Guangxi","Laibin",37.0663591611057,44.0467468133826,43.8286437895608,38.755951911811,37.7794747018592,56.675468975469,"28.7%","-13.8%",0.286711802249364,-0.138018623545508
"laixi_chn.23_1_cn","Shandong","Laixi",52.6150249403608,83.4083569040521,54.8974170110937,56.5229836040573,54.8134675003358,56.9986028448236,"-31.7%","-0.2%",-0.316631990360495,-0.00152920693410696
"laizhou_chn.23_1_cn","Shandong","Laizhou",37.2807525213976,55.7806606173061,48.8500130153663,55.9113382996465,49.6375706439932,50.7228190681969,"-9.1%","1.6%",-0.0906737477314854,0.0161219533018182
"langfang_chn.10_1_cn","Hebei","Langfang",64.0103644792763,67.4146247547294,48.8791140704627,60.749596860307,47.2255579039168,58.0714500802865,"-13.9%","-3.4%",-0.138592697184559,-0.0338295036232082
"lanzhou_chn.5_1_cn","Gansu","Lanzhou",47.3733744811642,43.8577263714553,45.8564196324342,44.7615267654912,41.8164138791651,41.3632106277895,"-5.7%","-8.8%",-0.0568774523909049,-0.0881012034007908
"leshan_chn.26_1_cn","Sichuan","Leshan",49.2873826406536,69.730319277693,44.7303412728751,51.4062047051222,45.8561351969858,62.11985706147,"-10.9%","2.5%",-0.109141364833211,0.0251684626603423
"lhasa_chn.29_1_cn","Xizang","Lhasa",15.5256490533604,13.0934230649828,14.5731961544624,11.605674458812,16.5453134962929,12.1963790819619,"-6.9%","13.5%",-0.0685110363095117,0.135324970646653
"liangshan_chn.26_1_cn","Sichuan","Liangshan",21.5352817358252,19.8779378633901,22.7608515493495,23.1496990109726,34.0240487678892,30.220465119615,"52%","49.5%",0.52030182040528,0.494849553151349
"lianyungang_chn.15_1_cn","Jiangsu","Lianyungang",48.4874992707998,66.7840713972663,46.429675790152,49.5551381365703,46.5086793526956,48.2631097236413,"-27.7%","0.2%",-0.277326034279233,0.00170157471916599
"liaocheng_chn.23_1_cn","Shandong","Liaocheng",75.9947359016555,91.4827493418194,68.1779280760977,78.634320706692,66.6692231511586,67.3085488054097,"-26.4%","-2.2%",-0.264248732250977,-0.0221289347962459
"liaoyang_chn.18_1_cn","Liaoning","Liaoyang",45.7629964713373,67.7861324627644,44.9751989587976,70.4203534698137,39.6619481793263,65.1961370422791,"-3.8%","-11.8%",-0.0382083374045287,-0.118137349082965
"liaoyuan_chn.17_1_cn","Jilin","Liaoyuan",36.0256447030264,57.8817297537904,39.1285244772473,59.81069532356,40.5011202847124,50.918378882926,"-12%","3.5%",-0.120303088737745,0.0350791609395666
"lijiang_chn.30_1_cn","Yunnan","Lijiang",14.4782724579488,10.2631836550525,12.6338982554114,12.8867348204839,13.5500813093114,16.3354375710173,"59.2%","7.3%",0.591654024721217,0.0725178432957208
"lin'an_chn.31_1_cn","Zhejiang","Lin'an",37.4101870149352,46.5347208872156,43.5897376943558,33.1451505972442,39.20465393661,36.4945116625189,"-21.6%","-10.1%",-0.215757374993841,-0.100598993930483
"lincang_chn.30_1_cn","Yunnan","Lincang",23.1185157390086,39.248199929767,22.2099572459897,36.8153503168082,21.1782227198789,45.9680171498135,"17.1%","-4.6%",0.171213386399156,-0.0464536925795798
"linfen_chn.25_1_cn","Shanxi","Linfen",70.5994533207176,107.345728038551,66.4234051101449,87.9156153963295,57.9833257771477,74.6042013113135,"-30.5%","-12.7%",-0.305010057926844,-0.127064839855795
"linxia_chn.5_1_cn","Gansu","Linxia",57.2742178870022,38.7068839359242,39.4881502883011,49.1179513319306,35.8167418596799,33.1178822414827,"-14.4%","-9.3%",-0.144392963889669,-0.0929749406294395
"linyi_chn.23_1_cn","Shandong","Linyi",66.3494623566881,91.9944746967713,67.1844830331536,65.9428896658411,65.4147372606576,67.0747245425311,"-27.1%","-2.6%",-0.270883118104427,-0.0263415850297259
"lishui_chn.31_1_cn","Zhejiang","Lishui",29.5829859180559,29.7388088322108,31.1293799789341,22.5907897571191,28.3732444152637,27.9486477403571,"-6%","-8.9%",-0.0601961262790983,-0.0885380809234093
"liupanshui_chn.8_1_cn","Guizhou","Liupanshui",27.4438508438453,31.1173706613674,27.0098667235578,30.584949371822,23.4794179955548,36.7595430815062,"18.1%","-13.1%",0.18131906071176,-0.130709594539529
"liuzhou_chn.7_1_cn","Guangxi","Liuzhou",38.3029371187803,39.1381703416407,41.4829161794903,34.0445308889186,37.183641544942,48.5238379033722,"24%","-10.4%",0.239808541886427,-0.103639643267747
"liyang_chn.15_1_cn","Jiangsu","Liyang",47.1693660801351,65.3679413869688,44.1098089598535,46.0261767197878,44.2818443232901,46.9540388538514,"-28.2%","0.4%",-0.281696228187909,0.00390016115447622
"longnan_chn.5_1_cn","Gansu","Longnan",31.3461919561299,32.2680134341742,17.8032877794901,23.3994179469751,21.1748451100041,28.3627647148012,"-12.1%","18.9%",-0.121025384080108,0.189378353721732
"longyan_chn.4_1_cn","Fujian","Longyan",24.3139903278143,24.5476573302217,29.9331347354547,21.5857554241035,21.3556992309682,29.6374417997673,"20.7%","-28.7%",0.207342981901551,-0.286553198664051
"loudi_chn.14_1_cn","Hunan","Loudi",32.5574103542247,45.0580758077517,47.4526318298596,35.6035224150282,41.8161634111378,47.0592600847911,"4.4%","-11.9%",0.0444134428992904,-0.118780944309501
"lu'an_chn.1_1_cn","Anhui","Lu'an",54.4850373197787,69.6044072974198,48.3169799292368,49.2613519444572,52.2066525972902,46.664864862392,"-33%","8.1%",-0.329570257483941,0.0805032242029622
"luliang_chn.25_1_cn","Shanxi","Luliang",49.1926011407267,63.4539406808446,39.9816118417762,50.1907879062094,36.3693574888032,41.5387492450462,"-34.5%","-9%",-0.345371638083529,-0.0903478921077085
"luohe_chn.12_1_cn","Henan","Luohe",86.2465481677915,101.19825199424,74.0742459817737,84.9138918756468,74.0048619099453,74.8710731539028,"-26%","-0.1%",-0.260154482133104,-0.000936682795873223
"luoyang_chn.12_1_cn","Henan","Luoyang",70.8915100156424,105.425706958395,75.2145095885874,74.3665192682844,69.2898093731297,66.7900924143727,"-36.6%","-7.9%",-0.366472425546736,-0.0787707085755786
"luzhou_chn.26_1_cn","Sichuan","Luzhou",39.4659391185752,63.3011092317545,41.6758734831325,55.3202095937483,43.3332867858996,60.4557251846839,"-4.5%","4%",-0.0449499871582539,0.0397691317360847
"ma'anshan_chn.1_1_cn","Anhui","Ma'anshan",45.3188027917125,62.8276925255977,48.376659658877,47.9505654392571,43.6255850735601,46.8506172088975,"-25.4%","-9.8%",-0.254299890294248,-0.0982100587105159
"maoming_chn.6_1_cn","Guangdong","Maoming",29.6576813368159,28.8990175795611,38.3605491686662,23.5464020756836,33.1580808156409,34.2867866397873,"18.6%","-13.6%",0.186434332772497,-0.135620278274714
"meishan_chn.26_1_cn","Sichuan","Meishan",38.0937122416291,51.0476777844193,40.7758688636348,42.8024363521286,38.7201648250786,48.6176215963023,"-4.8%","-5%",-0.0476036578662689,-0.0504147206631202
"meizhou_chn.6_1_cn","Guangdong","Meizhou",27.3718957081483,27.8674450699031,33.0047111786168,25.9394790888611,26.6319563306741,29.8994361499541,"7.3%","-19.3%",0.072916303412597,-0.193086217705533
"mianyang_chn.26_1_cn","Sichuan","Mianyang",48.8007116954148,55.8328108727022,41.9674730291252,48.6668005714898,37.4700832631378,54.1636519680008,"-3%","-10.7%",-0.0298956631165678,-0.107163701823699
"mudanjiang_chn.11_1_cn","Heilongjiang","Mudanjiang",31.9705430903402,57.4545483405483,35.7054415094869,48.8820492246415,36.7371972156679,49.3880627815696,"-14%","2.9%",-0.14039768463876,0.0288963155911928
"nagqu_chn.29_1_cn","Xizang","Nagqu",24.9089772748272,21.1550594516713,25.9208428500409,17.1809390540366,27.2225679402697,22.6611049384928,"7.1%","5%",0.0711907943469532,0.0502192423973125
"nanchang_chn.16_1_cn","Jiangxi","Nanchang",33.6837254167988,40.6368346212196,47.5181881111985,35.4119260780262,45.9690386743481,41.3914557744393,"1.9%","-3.3%",0.0185698802638949,-0.0326011891115291
"nanchong_chn.26_1_cn","Sichuan","Nanchong",50.7857201298509,64.299259573824,42.3471608784681,48.7766844573411,42.8565071518,56.1555741463984,"-12.7%","1.2%",-0.12665286476706,0.0120278730088588
"nanjing_chn.15_1_cn","Jiangsu","Nanjing",45.7435627622069,62.2955575449802,42.8169796558409,40.6506333077474,36.9472247818992,41.032372432536,"-34.1%","-13.7%",-0.341327471017355,-0.13708941922392
"nanning_chn.7_1_cn","Guangxi","Nanning",34.1702056451153,33.1850303465436,40.6485881311596,30.6765268485438,35.0688310314882,42.257392749296,"27.3%","-13.7%",0.273387196215034,-0.137268164927829
"nanping_chn.4_1_cn","Fujian","Nanping",19.7736288130506,19.2659352997075,25.2071664344429,19.5096867928974,21.3216946497791,26.7298488890005,"38.7%","-15.4%",0.387415065668067,-0.154141553147947
"nantong_chn.15_1_cn","Jiangsu","Nantong",49.2470340019859,55.9997554988095,42.7936713390524,42.4566726947456,39.6476640372766,42.485667597557,"-24.1%","-7.4%",-0.241324051879829,-0.0735157139673782
"nanyang_chn.12_1_cn","Henan","Nanyang",76.4404944379782,105.168834483123,71.6974061905494,74.3221638759519,75.3070542675512,76.5385024760124,"-27.2%","5%",-0.272232093735954,0.0503455880594688
"neijiang_chn.26_1_cn","Sichuan","Neijiang",40.8241864545335,56.9590872562835,38.5847718296194,49.9188753680196,40.7584499151826,58.9376622760926,"3.5%","5.6%",0.034736775378907,0.0563351286658258
"ningbo_chn.31_1_cn","Zhejiang","Ningbo",35.2486138653526,42.298372313628,31.5493050971541,27.7294147823521,25.3321951650284,27.7894753485992,"-34.3%","-19.7%",-0.343013127253461,-0.197060122655016
"ningde_chn.4_1_cn","Fujian","Ningde",20.5648540561511,28.7503189457601,25.7562095848709,26.4378055368522,22.3729720348069,30.0889564983397,"4.7%","-13.1%",0.046560789642196,-0.131356189617717
"nujiang_chn.30_1_cn","Yunnan","Nujiang",28.6593549450504,30.527615790501,24.2891773282969,27.4556476694479,22.4348366731123,41.0031084071749,"34.3%","-7.6%",0.343148075780405,-0.0763443170643886
"nyingchi_chn.29_1_cn","Xizang","Nyingchi",7.21124381598319,7.90041252394334,6.30740331332065,5.97955727123972,8.7577995412377,12.4826556072949,"58%","38.8%",0.580000483451263,0.388495250135985
"ordos_chn.19_1_cn","Nei Mongol","Ordos",22.868921660699,27.8314247872646,23.9439200082102,32.708433582334,26.4617513328711,27.6018635897593,"-0.8%","10.5%",-0.00824827328316813,0.105155351496228
"panjin_chn.18_1_cn","Liaoning","Panjin",37.0765941027563,56.5004954043541,42.9470240101278,54.2584754000494,36.8011547171514,62.0502191921516,"9.8%","-14.3%",0.0982243385315482,-0.143103496333694
"panzhihua_chn.26_1_cn","Sichuan","Panzhihua",30.4640059926067,31.7573753185115,32.5587494882984,33.069126878064,39.7644988387072,48.2839065891541,"52%","22.1%",0.52039978445603,0.221315298150457
"penglai_chn.23_1_cn","Shandong","Penglai",34.9496043760953,58.7660901150581,26.2425285162866,NA,38.7351851851852,NA,"NA%","47.6%",NA,0.476046226305727
"pingdingshan_chn.12_1_cn","Henan","Pingdingshan",81.8240159693994,98.3741929829857,66.247303876423,71.0250161567483,67.4857762134517,68.1339293675991,"-30.7%","1.9%",-0.307400372988237,0.0186946828710026
"pingdu_chn.23_1_cn","Shandong","Pingdu",49.2841427096494,71.542845801561,54.3967366369446,52.5948924518426,54.9005370804574,55.6615871521888,"-22.2%","0.9%",-0.221982484362198,0.00926159315172304
"pingliang_chn.5_1_cn","Gansu","Pingliang",37.8191054870845,43.7693632180077,25.4989006567049,30.7632651454751,31.285803577773,29.2734619432708,"-33.1%","22.7%",-0.331188306362497,0.226947153486259
"pingxiang_chn.16_1_cn","Jiangxi","Pingxiang",40.9975750811831,44.723978816954,47.9393850110379,36.6125901770671,45.5569818244908,48.7542525853985,"9%","-5%",0.0901143832694229,-0.0496961566361039
"pu'er_chn.30_1_cn","Yunnan","Pu'er",11.3236576962905,31.2571887801081,17.6491707501877,35.9315587489683,16.8036712658959,37.7349713884352,"20.7%","-4.8%",0.207241369462167,-0.047905904263682
"putian_chn.4_1_cn","Fujian","Putian",21.5292503366792,29.1078302683226,25.2120364609742,29.6450016557806,18.0970396686098,30.3076674440061,"4.1%","-28.2%",0.0412204264152678,-0.282206350263602
"puyang_chn.12_1_cn","Henan","Puyang",88.567749797538,108.847917496588,77.2191965479255,89.658105928158,81.1730793538531,77.9149285462076,"-28.4%","5.1%",-0.28418539979279,0.0512033662960181
"qamdo_chn.29_1_cn","Xizang","Qamdo",16.2813832928465,13.6548807568802,16.9417456026711,15.3689956094271,12.8030433771285,11.4729969686399,"-16%","-24.4%",-0.159787831698268,-0.244290188426042
"qiandongnan_chn.8_1_cn","Guizhou","Qiandongnan",27.4510805604002,30.5542042253379,31.2146676472729,29.9044329342876,30.6573869326827,36.5920289506521,"19.8%","-1.8%",0.197610275848952,-0.0178531682889445
"qiannan_chn.8_1_cn","Guizhou","Qiannan",25.4297399651333,24.5097861693931,22.6053504363866,24.5164197957554,22.0651283585652,29.3127305552043,"19.6%","-2.4%",0.195960272872923,-0.0238979740367927
"qianxinan_chn.8_1_cn","Guizhou","Qianxinan",12.2520080644556,24.8023624471112,22.8096251925495,28.3974970668419,21.9842574592849,37.2783039779951,"50.3%","-3.6%",0.503014241384777,-0.036185063379917
"qingdao_chn.23_1_cn","Shandong","Qingdao",38.0289429936467,64.9480861665357,45.1354865942329,45.6469222998345,38.1285526100201,45.8722973981116,"-29.4%","-15.5%",-0.293708250609744,-0.155242238711304
"qingyang_chn.5_1_cn","Gansu","Qingyang",33.9071158944293,47.4162941216622,36.4370995015313,44.2473813451493,36.5474581435371,39.6403030094775,"-16.4%","0.3%",-0.163994071156906,0.00302874387685881
"qingyuan_chn.6_1_cn","Guangdong","Qingyuan",39.8684185220269,35.7988696260646,44.1386114151866,35.9049246247765,31.2931651421577,37.6054617430342,"5%","-29.1%",0.0504650603731438,-0.291025156006816
"qinhuangdao_chn.10_1_cn","Hebei","Qinhuangdao",47.1165681824527,59.3794538974247,44.7054514541999,47.7714284253865,39.8787873396216,56.4883882158432,"-4.9%","-10.8%",-0.0486879802999831,-0.107965895826444
"qinzhou_chn.7_1_cn","Guangxi","Qinzhou",34.3691324668424,34.972036616042,41.3224334618195,31.0635211183629,36.2461633371666,44.8362717408732,"28.2%","-12.3%",0.282060642710935,-0.12284538202096
"qiqihar_chn.11_1_cn","Heilongjiang","Qiqihar",24.2587875977347,50.4673306917651,34.611133314688,51.4055334998886,18.8737096547026,28.8055768222204,"-42.9%","-45.5%",-0.429223293021901,-0.454692526734075
