"location_id","province","city","2019Q1","2019Q4","2020Q1","2020Q4","2021Q1","2021Q1_vs_2019Q1_str","2020Q4_vs_2019Q4_str","2021Q1_vs_2019Q1","2020Q4_vs_2019Q4"
"dalian_chn.18_1_cn","Liaoning","Dalian",33.5480739457713,31.4956950206825,30.0266576545477,31.494603011039,31.1095519656515,"-7.3%","0%",-0.0726873913555077,-3.46717112527095e-05
"dandong_chn.18_1_cn","Liaoning","Dandong",38.6245286644997,30.355838629279,29.396450218167,28.5303263234739,32.622311052562,"-15.5%","-6%",-0.155399116040332,-0.0601371066732552
"daqing_chn.11_1_cn","Heilongjiang","Daqing",30.5667709691579,26.5308418264241,29.8749942876335,22.2533143213259,25.573243529684,"-16.3%","-16.1%",-0.163364571433222,-0.161228487700599
"datong_chn.25_1_cn","Shanxi","Datong",36.2395617052729,30.3923030124714,28.7651477660807,31.7163694749604,35.5787420426673,"-1.8%","4.4%",-0.0182347586866496,0.0435658482986852
"daxinganling_chn.19_1_cn","Nei Mongol","Daxinganling",20.7089521271295,20.2258577007373,20.2207227498356,9.67049887690487,9.46831608142625,"-54.3%","-52.2%",-0.542791155085902,-0.52187447276699
"dazhou_chn.26_1_cn","Sichuan","Dazhou",45.7866710090632,44.0370318060185,42.8803958639514,43.1966505560559,44.2932030802451,"-3.3%","-1.9%",-0.0326179627368504,-0.019083512568795
"dehong_chn.30_1_cn","Yunnan","Dehong",27.3493497922785,20.8215569548974,20.8551150318925,21.7073498277534,30.3190734015586,"10.9%","4.3%",0.108584797512024,0.0425421055099147
"deyang_chn.26_1_cn","Sichuan","Deyang",41.8547292062126,41.1114809638792,39.8844629275686,41.1186835364764,44.4367470803834,"6.2%","0%",0.0616899911465096,0.000175196135686839
"dezhou_chn.23_1_cn","Shandong","Dezhou",64.2791693816591,46.3931907243227,44.2180152799781,47.0617911064027,48.1243939950054,"-25.1%","1.4%",-0.251322093021058,0.014411605919777
"dingxi_chn.5_1_cn","Gansu","Dingxi",31.9324209177944,30.3961056074021,27.622204757331,25.0732424505662,24.4918401674873,"-23.3%","-17.5%",-0.23301023024411,-0.175116616108206
"diqing_chn.30_1_cn","Yunnan","Diqing",14.548281352834,14.2109836194869,14.1702515760651,13.2304660021577,16.863691602733,"15.9%","-6.9%",0.159153524306012,-0.0689971675137715
"dongguan_chn.6_1_cn","Guangdong","Dongguan",31.342689571682,32.6011355880547,25.7786572207513,29.3269763804098,26.871792762442,"-14.3%","-10%",-0.142645601584858,-0.100430833116275
"dongying_chn.23_1_cn","Shandong","Dongying",53.7032136883214,43.347762436855,43.4399792150639,47.6178425326666,53.9548302563034,"0.5%","9.9%",0.0046853167753107,0.0985075089407874
"enshi_chn.13_1_cn","Hubei","Enshi",32.4240426486636,30.696539691789,30.4292004968219,32.6037547905337,28.0903767242566,"-13.4%","6.2%",-0.133655940789532,0.0621312733583075
"ezhou_chn.13_1_cn","Hubei","Ezhou",44.616098182705,37.2529704064092,36.0618723722931,45.7704979195422,40.4369303896038,"-9.4%","22.9%",-0.0936695041325056,0.228640224395838
"fangchenggang_chn.7_1_cn","Guangxi","Fangchenggang",27.1135463314312,24.9435917682237,23.2050846138524,27.7972198548114,29.2444231221826,"7.9%","11.4%",0.0785908550915437,0.114403254876188
"foshan_chn.6_1_cn","Guangdong","Foshan",29.8078005026939,29.060504227952,22.9350882913873,28.2183170575195,27.924440946568,"-6.3%","-2.9%",-0.0631834460900831,-0.0289804734228404
"fushun_chn.18_1_cn","Liaoning","Fushun",55.6074865145999,39.2560741765285,39.5218247874434,44.360188703758,53.828347140659,"-3.2%","13%",-0.031994601544771,0.130021012908143
