date,aqi,pm25,pm10,so2,co,no2,o3
16/2/2018,107,80,101,14,0.6,24,85
17/2/2018,109,82,92,10,1.3,35,49
18/2/2018,152,116,109,14,1.7,46,80
19/2/2018,188,141,131,24,2,42,69
20/2/2018,63,45,42,6,0.7,21,85
21/2/2018,48,33,43,6,0.6,26,81
22/2/2018,45,18,45,6,0.5,29,77
23/2/2018,52,23,54,6,0.6,29,79
24/2/2018,62,30,74,10,0.6,21,65
25/2/2018,82,60,71,10,0.8,43,66
26/2/2018,162,123,121,21,1.5,69,86
27/2/2018,218,168,170,12,1.8,51,66
28/2/2018,115,87,116,9,1,34,74
1/3/2018,50,17,50,4,0.3,17,80
2/3/2018,103,77,103,18,1,51,65
3/3/2018,215,165,189,18,1.8,72,52
4/3/2018,124,57,198,7,0.8,35,46
5/3/2018,90,48,130,9,0.8,41,65
6/3/2018,64,46,65,10,0.9,38,64
7/3/2018,65,47,64,8,0.7,47,44
8/3/2018,61,43,72,6,0.7,34,70
9/3/2018,135,103,106,12,1.2,66,73
10/3/2018,153,117,125,14,1.4,58,101
11/3/2018,84,62,69,16,1.3,45,59
12/3/2018,189,142,137,10,1.6,69,84
13/3/2018,283,233,189,10,2,92,139
14/3/2018,276,226,176,16,2.4,73,78
15/3/2018,61,20,72,3,0.4,16,87
16/3/2018,55,32,60,7,0.5,28,87
17/3/2018,83,61,60,4,0.9,57,27
18/3/2018,135,103,71,3,0.9,51,81
19/3/2018,93,69,59,4,0.8,43,88
20/3/2018,40,23,39,4,0.5,32,80
21/3/2018,79,58,82,8,0.8,51,68
22/3/2018,110,83,100,7,0.9,61,88
23/3/2018,138,105,126,10,1.3,82,59
24/3/2018,117,88,99,9,1.1,58,108
25/3/2018,74,54,89,7,0.6,54,117
26/3/2018,150,115,133,12,1,70,129
27/3/2018,233,183,182,11,1.3,94,109
28/3/2018,0,0,0,6,0.8,47,69
29/3/2018,107,37,164,12,0.8,42,80
30/3/2018,66,39,81,7,0.6,50,96
31/3/2018,128,97,146,12,1,77,110
1/10/2018,40,8,21,3,0.3,19,80
2/10/2018,44,11,29,3,0.4,35,81
3/10/2018,53,13,34,3,0.5,42,82
4/10/2018,74,46,74,8,1,56,128
5/10/2018,109,82,87,7,1.2,56,123
6/10/2018,33,8,21,3,0.3,18,66
7/10/2018,49,10,36,2,0.4,39,67
8/10/2018,42,9,34,2,0.4,33,73
9/10/2018,26,4,19,3,0.2,15,51
10/10/2018,33,7,22,3,0.3,26,52
11/10/2018,47,12,31,2,0.3,37,59
12/10/2018,73,40,73,4,0.6,58,72
13/10/2018,113,85,104,6,1,75,90
14/10/2018,189,142,143,6,1.2,77,114
15/10/2018,203,153,126,5,1.4,69,55
16/10/2018,83,61,38,3,0.9,37,74
17/10/2018,53,32,51,2,0.6,42,63
18/10/2018,67,31,50,3,0.6,53,64
19/10/2018,73,43,56,3,0.7,58,79
20/10/2018,88,65,75,5,0.8,68,81
21/10/2018,152,116,111,7,1.4,85,56
22/10/2018,158,120,116,5,1.2,58,72
23/10/2018,45,15,43,2,0.4,36,58
24/10/2018,85,45,95,4,0.9,68,37
25/10/2018,112,84,123,9,1.5,74,29
26/10/2018,45,5,45,3,0.2,11,56
27/10/2018,33,10,32,3,0.3,26,57
28/10/2018,36,4,29,2,0.2,11,72
29/10/2018,31,5,20,2,0.3,21,62
30/10/2018,49,11,33,3,0.4,39,65
31/10/2018,62,23,51,4,0.8,49,45
1/11/2018,80,51,77,6,0.9,64,58
2/11/2018,152,116,126,8,1.5,96,31
3/11/2018,211,161,148,8,1.7,89,81
4/11/2018,102,76,69,3,0.8,48,23
5/11/2018,47,20,27,2,0.5,37,30
6/11/2018,50,14,31,3,0.5,40,40
7/11/2018,65,28,55,4,0.7,52,16
8/11/2018,94,70,101,6,1.2,73,14
9/11/2018,54,31,58,3,0.6,41,61
10/11/2018,50,13,38,3,0.4,40,37
11/11/2018,72,46,80,5,0.7,57,49
12/11/2018,132,100,119,7,1.2,75,33
13/11/2018,230,180,159,6,1.7,78,33
14/11/2018,270,220,164,4,2.2,75,37
15/11/2018,84,62,57,3,0.8,32,52
16/11/2018,39,14,28,3,0.4,31,52
17/11/2018,78,44,76,7,0.8,62,24
18/11/2018,64,30,77,5,0.7,42,63
19/11/2018,83,47,92,10,1.1,66,17
20/11/2018,69,40,87,6,0.8,54,50
21/11/2018,49,21,49,4,0.5,35,55
22/11/2018,68,28,64,6,0.7,54,37
23/11/2018,93,69,98,13,1.4,66,13
24/11/2018,123,93,106,9,1.2,63,46
25/11/2018,119,90,112,8,1.4,73,24
26/11/2018,266,216,231,11,2.4,105,15
27/11/2018,163,50,275,3,0.5,31,61
28/11/2018,116,56,181,15,1.3,68,12
29/11/2018,101,58,152,14,1.6,65,17
30/11/2018,123,93,184,12,1.9,83,16
1/12/2018,175,132,199,10,2,82,30
2/12/2018,232,182,227,7,2.6,85,5
3/12/2018,0,0,0,3,0.5,21,57
4/12/2018,61,14,71,3,0.4,25,58
5/12/2018,77,39,103,10,1.1,59,8
6/12/2018,37,9,37,3,0.4,15,54
7/12/2018,38,6,38,3,0.3,12,56
8/12/2018,36,11,36,3,0.3,22,60
9/12/2018,73,41,71,9,0.9,58,26
10/12/2018,83,58,89,12,1.1,66,18
11/12/2018,52,21,54,6,0.6,32,52
12/12/2018,73,31,64,7,0.8,58,31
13/12/2018,49,13,40,5,0.5,39,58
14/12/2018,83,48,76,11,1,66,23
15/12/2018,120,91,116,14,1.5,85,12
16/12/2018,88,65,107,8,1.2,59,54
